az_angle;elev_angle;sound_file;condition;level;roving;feedback
-70;0;pink_noises/noise1.wav;;65;6;true
-60;0;pink_noises/noise2.wav;;65;6;true
-50;0;pink_noises/noise3.wav;;65;6;true
-40;0;pink_noises/noise4.wav;;65;6;true
-30;0;pink_noises/noise5.wav;;65;6;true
-20;0;pink_noises/noise6.wav;;65;6;true
-10;0;pink_noises/noise7.wav;;65;6;true
0;0;pink_noises/noise8.wav;;65;6;true
10;0;pink_noises/noise9.wav;;65;6;true
20;0;pink_noises/noise10.wav;;65;6;true
30;0;pink_noises/noise11.wav;;65;6;true
40;0;pink_noises/noise12.wav;;65;6;true
50;0;pink_noises/noise13.wav;;65;6;true
60;0;pink_noises/noise14.wav;;65;6;true
70;0;pink_noises/noise15.wav;;65;6;true
-70;0;pink_noises/noise9.wav;;65;6;true
-60;0;pink_noises/noise5.wav;;65;6;true
-50;0;pink_noises/noise8.wav;;65;6;true
-40;0;pink_noises/noise15.wav;;65;6;true
-30;0;pink_noises/noise14.wav;;65;6;true
-20;0;pink_noises/noise7.wav;;65;6;true
-10;0;pink_noises/noise1.wav;;65;6;true
0;0;pink_noises/noise4.wav;;65;6;true
10;0;pink_noises/noise3.wav;;65;6;true
20;0;pink_noises/noise6.wav;;65;6;true
30;0;pink_noises/noise11.wav;;65;6;true
40;0;pink_noises/noise13.wav;;65;6;true
50;0;pink_noises/noise10.wav;;65;6;true
60;0;pink_noises/noise12.wav;;65;6;true
70;0;pink_noises/noise2.wav;;65;6;true
